Device Name,Route,Next Hop
spine2,10.200.175.0/24,[]
spine2,10.200.173.0/24,[]
spine2,10.200.6.0/24,[]
spine2,10.200.200.0/24,[]
spine2,10.200.160.0/24,[]
spine2,10.200.34.0/24,[]
spine2,10.200.18.0/24,[]
spine2,10.55.11.0/24,[]
spine2,10.55.0.0/24,[]
spine2,10.200.23.0/24,[]
spine2,10.200.75.0/24,[]
spine2,10.200.4.0/24,[]
spine2,10.200.252.0/24,[]
spine2,10.200.209.0/24,[]
spine2,10.55.12.0/24,[]
spine2,10.200.217.0/24,[]
spine2,10.200.204.0/24,[]
spine2,10.200.79.0/24,[]
spine2,10.200.17.0/24,[]
spine2,10.200.77.0/24,[]
spine2,10.200.74.0/24,[]
spine2,10.200.124.0/24,[]
spine2,10.200.165.0/24,[]
spine2,10.55.6.0/24,[]
spine2,10.200.216.0/24,[]
spine2,10.200.101.0/24,[]
spine2,10.200.155.0/24,[]
spine2,10.200.130.0/24,[]
spine2,10.200.10.0/24,[]
spine2,10.200.127.0/24,[]
spine2,10.200.99.0/24,[]
spine2,10.200.2.0/24,[]
spine2,10.200.180.0/24,[]
spine2,10.200.21.0/24,[]
spine2,10.200.68.0/24,[]
spine2,10.200.169.0/24,[]
spine2,10.200.69.0/24,[]
spine2,10.200.121.0/24,[]
spine2,10.200.167.0/24,[]
spine2,10.200.220.0/24,[]
spine2,10.200.136.0/24,[]
spine2,10.200.213.0/24,[]
spine2,10.200.55.0/24,[]
spine2,10.200.78.0/24,[]
spine2,10.200.7.0/24,[]
spine2,10.200.123.0/24,[]
spine2,10.200.135.0/24,[]
spine2,10.200.182.0/24,[]
spine2,10.200.28.0/24,[]
spine2,10.200.189.0/24,[]
spine2,10.200.195.0/24,[]
spine2,10.200.19.0/24,[]
spine2,10.200.221.0/24,[]
spine2,10.55.9.0/24,[]
spine2,10.200.245.0/24,[]
spine2,10.200.53.0/24,[]
spine2,10.200.194.0/24,[]
spine2,10.200.215.0/24,[]
spine2,10.55.14.0/24,[]
spine2,10.200.106.0/24,[]
spine2,10.200.172.0/24,[]
spine2,10.200.16.0/24,[]
spine2,10.200.197.0/24,[]
spine2,10.200.50.0/24,[]
spine2,10.200.174.0/24,[]
spine2,172.16.200.0/30,[{u'interface': u'Ethernet2', u'nexthopAddr': u'172.16.200.18'}]
spine2,172.16.200.24/30,[{u'interface': u'Ethernet4'}]
spine2,10.200.76.0/24,[]
spine2,10.200.240.0/24,[]
spine2,10.200.159.0/24,[]
spine2,172.16.200.20/30,[{u'interface': u'Ethernet3'}]
spine2,172.16.200.12/30,[{u'interface': u'Ethernet5', u'nexthopAddr': u'172.16.200.30'}]
spine2,10.200.12.0/24,[]
spine2,10.200.117.0/24,[]
spine2,10.200.38.0/24,[]
spine2,10.200.113.0/24,[]
spine2,10.200.120.0/24,[]
spine2,10.200.242.0/24,[]
spine2,10.200.73.0/24,[]
spine2,10.200.184.0/24,[]
spine2,10.200.144.0/24,[]
spine2,10.200.90.0/24,[]
spine2,0.0.0.0/0,[{u'interface': u'Management1', u'nexthopAddr': u'192.168.0.254'}]
spine2,10.200.141.0/24,[]
spine2,10.200.57.0/24,[]
spine2,10.200.190.0/24,[]
spine2,10.200.59.0/24,[]
spine2,10.200.48.0/24,[]
spine2,10.200.232.0/24,[]
spine2,10.200.161.0/24,[]
spine2,10.200.102.0/24,[]
spine2,172.16.0.3/32,[{u'interface': u'Ethernet2', u'nexthopAddr': u'172.16.200.18'}]
spine2,172.16.200.8/30,[{u'interface': u'Ethernet4', u'nexthopAddr': u'172.16.200.26'}]
spine2,10.200.250.0/24,[]
spine2,10.200.133.0/24,[]
spine2,10.200.153.0/24,[]
spine2,10.200.244.0/24,[]
spine2,10.55.8.0/24,[]
spine2,10.200.39.0/24,[]
spine2,10.200.42.0/24,[]
spine2,10.200.52.0/24,[]
spine2,10.200.93.0/24,[]
spine2,10.200.147.0/24,[]
spine2,10.200.234.0/24,[]
spine2,10.200.202.0/24,[]
spine2,10.55.18.0/24,[]
spine2,10.200.107.0/24,[]
